,GeneID,Function,OrganismID
0,OEU67172.1,HmcA,Desulfobacterales_sp._PC51MH44
1,2512526948,HmcA,Desulfobacterales_sp._S5133MH16
2,2502442176,HmcA,Desulfosarcina_sp._BuS5
3,2524232589,HmcA,Desulfococcus_biacutus_KMRActS
4,2524511883,HmcA,Desulfonema_limicola_Jadebusen_DSM_2076
5,2523439073,HmcA,Desulfosarcina_variabilis_Montpellier
6,2503698079,HmcA,Desulfatirhabdium_butyrativorans_DSM_18734
7,2541189014,HmcA,Desulfobacter_postgatei_2ac9
8,2646273964,HmcA,Desulfobacula_toluolica_Tol2
9,2595078332,HmcA,Desulforegula_conservatrix_Mb1Pa_DSM_13527
10,2524273893,HmcA,Desulfococcus_oleovorans_Hxd3
11,OEU65005.1,HmcC,Desulfobacterales_sp._PC51MH44
12,OEU67173.1,HmcC,Desulfobacterales_sp._S5133MH16
13,2512526946,HmcC,Desulfobacterales_sp._S5133MH16
14,2502442174,HmcC,Desulfosarcina_sp._BuS5
15,2524232591,HmcC,Desulfococcus_biacutus_KMRActS
16,2524511881,HmcC,Desulfonema_limicola_Jadebusen_DSM_2076
17,2523439071,HmcC,Desulfosarcina_variabilis_Montpellier
18,2503698081,HmcC,Desulfatirhabdium_butyrativorans_DSM_18734
19,2541189012,HmcC,Desulfobacter_postgatei_2ac9
20,2646273962,HmcC,Desulfobacula_toluolica_Tol2
21,2595078330,HmcC,Desulforegula_conservatrix_Mb1Pa_DSM_13527
22,2524273891,HmcC,Desulfococcus_oleovorans_Hxd3
23,OEU65006.1,HmcE,Desulfobacterales_sp._PC51MH44
24,OEU67174.1,HmcE,Desulfobacterales_sp._S5133MH16
25,2512526944,HmcE,Desulfobacterales_sp._S5133MH16
26,2502442171,HmcE,Desulfosarcina_sp._BuS5
27,2524232693,HmcE,Desulfococcus_biacutus_KMRActS
28,2524511879,HmcE,Desulfonema_limicola_Jadebusen_DSM_2076
29,2523439069,HmcE,Desulfosarcina_variabilis_Montpellier
30,2503698083,HmcE,Desulfatirhabdium_butyrativorans_DSM_18734
31,2541189010,HmcE,Desulfobacter_postgatei_2ac9
32,2646273960,HmcE,Desulfobacula_toluolica_Tol2
33,OEU44649.1,HmcE,Desulforegula_conservatrix_Mb1Pa_DSM_13527
34,OEU65007.1,HmcF,Desulfobacterales_sp._PC51MH44
35,OEU67175.1,HmcF,Desulfobacterales_sp._S5133MH16
36,2512526943,HmcF,Desulfobacterales_sp._S5133MH16
37,2502442170,HmcF,Desulfosarcina_sp._BuS5
38,2524232694,HmcF,Desulfococcus_biacutus_KMRActS
39,2524511878,HmcF,Desulfonema_limicola_Jadebusen_DSM_2076
40,2523439068,HmcF,Desulfosarcina_variabilis_Montpellier
41,2503698084,HmcF,Desulfatirhabdium_butyrativorans_DSM_18734
42,2541189009,HmcF,Desulfobacter_postgatei_2ac9
43,2646273959,HmcF,Desulfobacula_toluolica_Tol2
44,OEU44650.1,HmcF,Desulforegula_conservatrix_Mb1Pa_DSM_13527
45,OEU63921.1,TmcA,Desulfobacterales_sp._PC51MH44
46,2512526955,TmcA,Desulfobacterales_sp._S5133MH16
47,2502446827,TmcA,Desulfosarcina_sp._BuS5
48,2502441046,TmcA,Desulfococcus_biacutus_KMRActS
49,2524232697,TmcA,Desulfonema_limicola_Jadebusen_DSM_2076
50,2524510082,TmcA,Desulfosarcina_variabilis_Montpellier
51,2503696114,TmcA,Desulfatirhabdium_butyrativorans_DSM_18734
52,2541188576,TmcA,Desulfobacter_postgatei_2ac9
53,2541189290,TmcA,Desulfobacula_toluolica_Tol2
54,2646273699,TmcA,Desulforegula_conservatrix_Mb1Pa_DSM_13527
55,2595078289,TmcA,Desulfococcus_oleovorans_Hxd3
56,2595078313,TmcA,Desulfatibacillum_aliphaticivorans_DSM_15576_
57,2524273894,TmcA,Desulfatibacillum_alkenivorans_DSM_16219
58,AMM41048.1,TmcA,Desulfobacterium_anilini_DSM_4660
59,CAD7776331.1,TmcA,Desulfobacca_acetoxidans_ASRB2_DSM_11109
60,CAD7777601.1,TmcA,Desulfocapsa_sulfexigens_DSM_10523
61,Ga0402057_bin2_2568,TmcA,Desulfobulbus_propionicus_1pr3_DSM_2032
62,OEU63922.1,TmcB,Desulfobacterales_sp._PC51MH44
63,2512526956,TmcB,Desulfobacterales_sp._S5133MH16
64,2502446826,TmcB,Desulfosarcina_sp._BuS5
65,2502441047,TmcB,Desulfococcus_biacutus_KMRActS
66,2524232698,TmcB,Desulfonema_limicola_Jadebusen_DSM_2076
67,2524510081,TmcB,Desulfosarcina_variabilis_Montpellier
68,2503696113,TmcB,Desulfatirhabdium_butyrativorans_DSM_18734
69,2646273700,TmcB,Desulfobacter_postgatei_2ac9
70,OEU55939.1,TmcB,Desulfobacula_toluolica_Tol2
71,Ga0123269_10246,TmcB,Desulforegula_conservatrix_Mb1Pa_DSM_13527
72,AMM41049.1,TmcB,Desulfococcus_oleovorans_Hxd3
73,CAD7776337.1,TmcB,Desulfatibacillum_aliphaticivorans_DSM_15576_
74,CAD7777605.1,TmcB,Desulfatibacillum_alkenivorans_DSM_16219
75,Ga0402010_bin2_329,TmcB,Desulfobacterium_anilini_DSM_4660
76,Ga0402030_bin2_572,TmcB,Desulfobacca_acetoxidans_ASRB2_DSM_11109
77,Ga0402057_bin2_2567,TmcB,Desulfocapsa_sulfexigens_DSM_10523
78,Ga0402054_bin3_415,TmcB,Desulfobulbus_propionicus_1pr3_DSM_2032
79,Ga0402080_bin2_1223,TmcB,Desulfobulbus_elongatus_DSM_2908
80,OEU63923.1,TmcC,Desulfobacterales_sp._PC51MH44
81,2512526957,TmcC,Desulfobacterales_sp._S5133MH16
82,2502446825,TmcC,Desulfosarcina_sp._BuS5
83,2502441048,TmcC,Desulfococcus_biacutus_KMRActS
84,2524232699,TmcC,Desulfonema_limicola_Jadebusen_DSM_2076
85,2524510080,TmcC,Desulfosarcina_variabilis_Montpellier
86,2503696112,TmcC,Desulfatirhabdium_butyrativorans_DSM_18734
87,2541188574,TmcC,Desulfobacter_postgatei_2ac9
88,2541189288,TmcC,Desulfobacula_toluolica_Tol2
89,2646273701,TmcC,Desulforegula_conservatrix_Mb1Pa_DSM_13527
90,2595078291,TmcC,Desulfococcus_oleovorans_Hxd3
91,2595078311,TmcC,Desulfatibacillum_aliphaticivorans_DSM_15576_
92,2524273896,TmcC,Desulfatibacillum_alkenivorans_DSM_16219
93,OEU44478.1,TmcC,Desulfobacterium_anilini_DSM_4660
94,OEU57700.1,TmcC,Desulfobacca_acetoxidans_ASRB2_DSM_11109
95,OEU55938.1,TmcC,Desulfocapsa_sulfexigens_DSM_10523
96,Ga0123269_10245,TmcC,Desulfobulbus_propionicus_1pr3_DSM_2032
97,AMM41050.1,TmcC,Desulfobulbus_elongatus_DSM_2908
98,CAD7776343.1,TmcC,Desulfobulbus_mediterraneus_DSM_13871
99,CAD7777609.1,TmcC,Desulfocurvus_vexinensis_DSM_17965
100,Ga0402010_bin2_330,TmcC,Desulfocurvus_vexinensis_DSM_17965
101,Ga0402030_bin2_573,TmcC,Desulfovibrio_vulgaris_RCH1
102,Ga0402057_bin2_2566,TmcC,Desulfovibrio_vulgaris_RCH1
103,Ga0402054_bin3_416,TmcC,Desulfonatronum_thioautotrophicum_ASO4_1
104,Ga0402080_bin2_1224,TmcC,Desulfomicrobium_escambiense_DSM_10707
105,OEU63924.1,TmcD,Desulfobacterales_sp._PC51MH44
106,2512526958,TmcD,Desulfobacterales_sp._S5133MH16
107,2502446824,TmcD,Desulfosarcina_sp._BuS5
108,2502441049,TmcD,Desulfococcus_biacutus_KMRActS
109,2524232700,TmcD,Desulfonema_limicola_Jadebusen_DSM_2076
110,2524510079,TmcD,Desulfosarcina_variabilis_Montpellier
111,2503696111,TmcD,Desulfatirhabdium_butyrativorans_DSM_18734
112,2646273702,TmcD,Desulfobacter_postgatei_2ac9
113,OEU44477.1,TmcD,Desulfobacula_toluolica_Tol2
114,OEU57699.1,TmcD,Desulforegula_conservatrix_Mb1Pa_DSM_13527
115,OEU55937.1,TmcD,Desulfococcus_oleovorans_Hxd3
116,Ga0123269_10244,TmcD,Desulfatibacillum_aliphaticivorans_DSM_15576_
117,AMM41051.1,TmcD,Desulfatibacillum_alkenivorans_DSM_16219
118,CAD7776349.1,TmcD,Desulfobacterium_anilini_DSM_4660
119,CAD7777621.1,TmcD,Desulfobacca_acetoxidans_ASRB2_DSM_11109
120,Ga0402010_bin2_331,TmcD,Desulfocapsa_sulfexigens_DSM_10523
121,Ga0402030_bin2_574,TmcD,Desulfobulbus_propionicus_1pr3_DSM_2032
122,Ga0402057_bin2_2565,TmcD,Desulfobulbus_elongatus_DSM_2908
123,Ga0402054_bin3_417,TmcD,Desulfobulbus_mediterraneus_DSM_13871
124,Ga0402080_bin2_1225,TmcD,Desulfocurvus_vexinensis_DSM_17965
125,2512528126,OhcA,Desulfobacterales_sp._PC51MH44
126,2502445609,OhcA,Desulfobacterales_sp._S5133MH16
127,2502439774,OhcA,Desulfosarcina_sp._BuS5
128,2524233090,OhcA,Desulfococcus_biacutus_KMRActS
129,2508602329,OhcA,Desulfonema_limicola_Jadebusen_DSM_2076
130,2524509933,OhcA,Desulfosarcina_variabilis_Montpellier
131,2503698843,OhcA,Desulfatirhabdium_butyrativorans_DSM_18734
132,2523113869,OhcA,Desulfobacter_postgatei_2ac9
133,2523114660,OhcA,Desulfobacula_toluolica_Tol2
134,2588102372,OhcA,Desulforegula_conservatrix_Mb1Pa_DSM_13527
135,2588101452,OhcA,Desulfococcus_oleovorans_Hxd3
136,2527181462,OhcA,Desulfatibacillum_aliphaticivorans_DSM_15576_
137,2562336282,OhcA,Desulfatibacillum_aliphaticivorans_DSM_15576_
138,2541189167,OhcA,Desulfatibacillum_aliphaticivorans_DSM_15576_
139,2646276432,OhcA,Desulfatibacillum_alkenivorans_DSM_16219
140,1.12e-106,OhcA,Desulfobacterium_anilini_DSM_4660
141,OEU45386.1,OhcA,Desulfobacca_acetoxidans_ASRB2_DSM_11109
142,2512528127,OhcC,Desulfobacterales_sp._PC51MH44
143,2502445610,OhcC,Desulfobacterales_sp._S5133MH16
144,2502439773,OhcC,Desulfosarcina_sp._BuS5
145,2524233089,OhcC,Desulfococcus_biacutus_KMRActS
146,2508602330,OhcC,Desulfonema_limicola_Jadebusen_DSM_2076
147,2524509932,OhcC,Desulfosarcina_variabilis_Montpellier
148,2503698844,OhcC,Desulfatirhabdium_butyrativorans_DSM_18734
149,2523113870,OhcC,Desulfobacter_postgatei_2ac9
150,2588102371,OhcC,Desulfobacula_toluolica_Tol2
151,2527181461,OhcC,Desulforegula_conservatrix_Mb1Pa_DSM_13527
152,2541189168,OhcC,Desulfococcus_oleovorans_Hxd3
153,2646276433,OhcC,Desulfatibacillum_aliphaticivorans_DSM_15576_
154,2502436055,NhcA,Desulfobacterales_sp._PC51MH44
155,2562336769,NhcA,Desulfobacterales_sp._S5133MH16
156,649925482,NhcA,Desulfosarcina_sp._BuS5
157,2558014992,NhcA,Desulfococcus_biacutus_KMRActS
158,2523915479,NhcA,Desulfonema_limicola_Jadebusen_DSM_2076
159,OEU44548.1,NhcA,Desulfosarcina_variabilis_Montpellier
160,2502436057,NhcC,Desulfobacterales_sp._PC51MH44
161,2523114661,NhcC,Desulfobacterales_sp._S5133MH16
162,2588101451,NhcC,Desulfosarcina_sp._BuS5
163,2562336771,NhcC,Desulfococcus_biacutus_KMRActS
164,649925480,NhcC,Desulfonema_limicola_Jadebusen_DSM_2076
165,2558014990,NhcC,Desulfosarcina_variabilis_Montpellier
166,2523915477,NhcC,Desulfatirhabdium_butyrativorans_DSM_18734
167,MBA3019351.1,TmcA,Seep-SRB1a_sp013792055
169,RZB29848.1,TmcA,Eth-SRB1_sp004193555
172,CAD7777609.1,TmcA,HotSeep1_E37_DN
173,CAD7776343.1,TmcA,HotSeep1_E50_DN
174,AMM41050.1,TmcA,HotSeep1_sp001577525
177,IEOPGEAI_00706,TmcA,HotSeep1_B50
179,OEU63923.1,TmcA,Eth-SRB2_sp00175005
181,OEU57700.1,TmcA,Seep-SRB1g_sp001751015_a
182,OEU55938.1,TmcA,Seep-SRB1g_sp001751015_b
183,MBC2694439.1,TmcA,Seep-SRB1a_sp014237365
184,MBC2718749.1,TmcA,Seep-SRB1a_sp014237365a
185,MBT9438295.1,TmcA,Seep-SRB1a_sp._S7142MS3
188,OLHCEBFO_01508,TmcA,Desulfofervidaceae_sp._PB11946FWG155
190,BEFNOMPG_00678,TmcA,Candidatus Desulfofervidus auxilli_sp._PB12019FWG170
191,DHEMDEKC_00935,TmcA,Seep-SRB1a_sp._SM14434AFWG171
195,GLOGJPLJ_01213,TmcA,Desulfofervidaceae sp. PB_NA091.008_B6
197,LCGKHOPJ_00970,TmcA,Seep-SRB1a_sp._SM7147B
198,Ga0402054_bin3_416,TmcA,Seep-SRB1a_sp._CR9063A
199,Ga0402057_bin2_2566,TmcA,Seep-SRB1a_sp._CR9063B
201,Ga0402080_bin2_1224,TmcA,Seep-SRB1a_sp._SM7059A
202,Ga0402010_bin2_330,TmcA,Seep-SRB1g_sp._CR10073A
203,Ga0402030_bin2_573,TmcA,Seep-SRB1g_sp._CR10073B
208,OEU44478.1,TmcA,S7086C20 sp001751075
209,OEU44649.1,TmcA,C00003060 sp001751085
214,HID58490.1,TmcA,JABXJX01 sp013375375
215,NVL91106.1,TmcA,
216,NVL91102.1,TmcA,
217,NVL90554.1,TmcA,JABXJW01 sp013375395
218,MBA3019353.1,TmcA_DSC,Seep-SRB1a_sp013792055
219,MBA3017486.1,TmcA_DSC,
220,RZB29850.1,TmcA_DSC,Eth-SRB1_sp004193555
232,OEU59080.1,TmcA_DSC,Seep-SRB1g_sp001751015_a
234,MBC2696693.1,TmcA_DSC,Seep-SRB1a_sp014237365
235,MBC2721007.1,TmcA_DSC,Seep-SRB1a_sp014237365a
236,MBT9438709.1,TmcA_DSC,Seep-SRB1a_sp._S7142MS3
237,MBT9437608.1,TmcA_DSC,
242,DHEMDEKC_02231,TmcA_DSC,Seep-SRB1a_sp._SM14434AFWG171
243,EOKBJDCF_01648,TmcA_DSC,Seep-SRB1a_sp._SM14434BFWG172
248,LCGKHOPJ_00384,TmcA_DSC,Seep-SRB1a_sp._SM7147B
249,Ga0402054_bin3_2140,TmcA_DSC,Seep-SRB1a_sp._CR9063A
250,Ga0402057_bin2_1469,TmcA_DSC,Seep-SRB1a_sp._CR9063B
252,Ga0402080_bin2_1188,TmcA_DSC,Seep-SRB1a_sp._SM7059A
253,Ga0402080_bin2_671,TmcA_DSC,Seep-SRB1a_sp._SM7059A
254,Ga0402010_bin2_324,TmcA_DSC,Seep-SRB1g_sp._CR10073A
255,Ga0402030_bin2_566,TmcA_DSC,Seep-SRB1g_sp._CR10073B
270,MBA3019352.1,TmcB,Seep-SRB1a_sp013792055
272,RZB29847.1,TmcB,Eth-SRB1_sp004193555
275,CAD7777605.1,TmcB,HotSeep1_E37_DN
276,CAD7776337.1,TmcB,HotSeep1_E50_DN
277,AMM41049.1,TmcB,HotSeep1_sp001577525
280,IEOPGEAI_00707,TmcB,HotSeep1_B50
282,OEU63922.1,TmcB,Eth-SRB2_sp00175005
285,OEU55939.1,TmcB,Seep-SRB1g_sp001751015_b
286,MBC2694438.1,TmcB,Seep-SRB1a_sp014237365
287,MBC2718748.1,TmcB,Seep-SRB1a_sp014237365a
288,MBT9438708.1,TmcB,Seep-SRB1a_sp._S7142MS3
289,MBT9438296.1,TmcB,
291,OLHCEBFO_01509,TmcB,Desulfofervidaceae_sp._PB11946FWG155
294,DHEMDEKC_00936,TmcB,Seep-SRB1a_sp._SM14434AFWG171
295,EOKBJDCF_00667,TmcB,Seep-SRB1a_sp._SM14434BFWG172
298,GLOGJPLJ_01214,TmcB,Desulfofervidaceae sp. PB_NA091.008_B6
300,LCGKHOPJ_00971,TmcB,Seep-SRB1a_sp._SM7147B
301,Ga0402054_bin3_415,TmcB,Seep-SRB1a_sp._CR9063A
302,Ga0402057_bin2_2567,TmcB,Seep-SRB1a_sp._CR9063B
304,Ga0402080_bin2_1223,TmcB,Seep-SRB1a_sp._SM7059A
305,Ga0402080_bin2_670,TmcB,Seep-SRB1a_sp._SM7059A
306,Ga0402010_bin2_329,TmcB,Seep-SRB1g_sp._CR10073A
307,Ga0402030_bin2_572,TmcB,Seep-SRB1g_sp._CR10073B
312,OEU44650.1,TmcB,S7086C20 sp001751075
317,HID58489.1,TmcB,DTYH01 sp012961955
318,NVL91105.1,TmcB,JABXJX01 sp013375375
319,NVL91101.1,TmcB,
320,NVL90553.1,TmcB,
321,NVM21707.1,TmcB,JABXJW01 sp013375395
322,MBA3019351.1,TmcC,Seep-SRB1a_sp013792055
324,RZB29848.1,TmcC,Eth-SRB1_sp004193555
327,CAD7777609.1,TmcC,HotSeep1_E37_DN
328,CAD7776343.1,TmcC,HotSeep1_E50_DN
329,AMM41050.1,TmcC,HotSeep1_sp001577525
332,IEOPGEAI_00706,TmcC,HotSeep1_B50
334,OEU63923.1,TmcC,Eth-SRB2_sp00175005
336,OEU57700.1,TmcC,Seep-SRB1g_sp001751015_a
337,OEU55938.1,TmcC,Seep-SRB1g_sp001751015_b
338,MBC2694439.1,TmcC,Seep-SRB1a_sp014237365
339,MBC2718749.1,TmcC,Seep-SRB1a_sp014237365a
340,MBT9438295.1,TmcC,Seep-SRB1a_sp._S7142MS3
343,OLHCEBFO_01508,TmcC,Desulfofervidaceae_sp._PB11946FWG155
345,BEFNOMPG_00678,TmcC,Candidatus Desulfofervidus auxilli_sp._PB12019FWG170
346,DHEMDEKC_00935,TmcC,Seep-SRB1a_sp._SM14434AFWG171
350,GLOGJPLJ_01213,TmcC,Desulfofervidaceae sp. PB_NA091.008_B6
352,LCGKHOPJ_00970,TmcC,Seep-SRB1a_sp._SM7147B
353,Ga0402054_bin3_416,TmcC,Seep-SRB1a_sp._CR9063A
354,Ga0402057_bin2_2566,TmcC,Seep-SRB1a_sp._CR9063B
356,Ga0402080_bin2_1224,TmcC,Seep-SRB1a_sp._SM7059A
357,Ga0402010_bin2_330,TmcC,Seep-SRB1g_sp._CR10073A
358,Ga0402030_bin2_573,TmcC,Seep-SRB1g_sp._CR10073B
363,OEU44478.1,TmcC,S7086C20 sp001751075
364,OEU44649.1,TmcC,S7086C20 sp001751075
369,HID58490.1,TmcC,DTYH01 sp012961955
370,NVL91106.1,TmcC,JABXJX01 sp013375375
371,NVL91102.1,TmcC,
372,NVL90554.1,TmcC,
373,NVM21708.1,TmcC,JABXJW01 sp013375395
374,MBA3019351.1,TmcD,Seep-SRB1a_sp013792055
376,RZB29848.1,TmcD,Eth-SRB1_sp004193555
379,CAD7777609.1,TmcD,HotSeep1_E37_DN
380,CAD7776343.1,TmcD,HotSeep1_E50_DN
381,AMM41050.1,TmcD,HotSeep1_sp001577525
384,IEOPGEAI_00706,TmcD,HotSeep1_B50
386,OEU63923.1,TmcD,Eth-SRB2_sp00175005
388,OEU57700.1,TmcD,Seep-SRB1g_sp001751015_a
389,OEU55938.1,TmcD,Seep-SRB1g_sp001751015_b
390,MBC2694439.1,TmcD,Seep-SRB1a_sp014237365
391,MBC2718749.1,TmcD,Seep-SRB1a_sp014237365a
392,MBT9438295.1,TmcD,Seep-SRB1a_sp._S7142MS3
395,OLHCEBFO_01508,TmcD,Desulfofervidaceae_sp._PB11946FWG155
397,BEFNOMPG_00678,TmcD,Candidatus Desulfofervidus auxilli_sp._PB12019FWG170
398,DHEMDEKC_00935,TmcD,Seep-SRB1a_sp._SM14434AFWG171
402,GLOGJPLJ_01213,TmcD,Desulfofervidaceae sp. PB_NA091.008_B6
404,LCGKHOPJ_00970,TmcD,Seep-SRB1a_sp._SM7147B
405,Ga0402054_bin3_416,TmcD,Seep-SRB1a_sp._CR9063A
406,Ga0402057_bin2_2566,TmcD,Seep-SRB1a_sp._CR9063B
408,Ga0402080_bin2_1224,TmcD,Seep-SRB1a_sp._SM7059A
409,Ga0402010_bin2_330,TmcD,Seep-SRB1g_sp._CR10073A
410,Ga0402030_bin2_573,TmcD,Seep-SRB1g_sp._CR10073B
415,OEU44478.1,TmcD,S7086C20 sp001751075
416,OEU44649.1,TmcD,C00003060 sp001751085
421,HID58490.1,TmcD,JABXJX01 sp013375375
422,NVL91106.1,TmcD,
423,NVL91102.1,TmcD,
424,NVL90554.1,TmcD,JABXJW01 sp013375395
425,2513992634,nfnA,Desulfobacterales_sp._PC51MH44
426,2502437831,nfnA,Desulfobacterales_sp._S5133MH16
