rxn,ecoli_acetate,ecoli_malt,ecoli_stationary,pf_acetate,pf_4HB,pf_stationary
EX_cpd00001_e0,4.544367283,2.997836446,0,4.533296384,2.449417364,0
EX_cpd00007_e0,-2.035609331,-0.978297296,0,-2.025520588,-5.333032,0
EX_cpd00009_e0,-0.076254103,-0.076254103,0,-0.076254103,-0.076254103,0
EX_cpd00011_e0,2.388150567,1.330908686,0,2.377640901,5.685222467,0
EX_cpd00013_e0,-0.86116665,-0.86116665,0,-0.86116665,-0.86116665,0
EX_cpd00029_e0,-3.069851449,0.393661378,0,-3.06361446,0,0
EX_cpd00030_e0,-0.000280616,-0.000280616,0,-0.000280616,-0.000280616,0
EX_cpd00034_e0,-0.000280616,-0.000280616,0,-0.000280616,-0.000280616,0
EX_cpd00048_e0,-0.022639719,-0.022639719,0,-0.022639719,-0.022639719,0
EX_cpd00058_e0,-0.000280616,-0.000280616,0,-0.000280616,-0.000280616,0
EX_cpd00063_e0,-0.000280616,-0.000280616,0,-0.000280616,-0.000280616,0
EX_cpd00067_e0,-2.417394631,1.046398812,0,-2.411718874,-2.043483937,0
EX_cpd00075_e0,0,5.39E-13,0,0,0,0
EX_cpd00099_e0,-0.000280616,-0.000280616,0,-0.000280616,-0.000280616,0
EX_cpd00116_e0,0.000280616,0.000280616,0,0.000280616,0.000280616,0
EX_cpd00136_e0,0,0,0,0,-1.34783007,0
EX_cpd00149_e0,-0.000280616,-0.000280616,0,-0.000280616,-0.000280616,0
EX_cpd00179_e0,0,-0.489148648,0,0,0,0
EX_cpd00205_e0,-0.000280616,-0.000280616,0,-0.000280616,-0.000280616,0
EX_cpd00254_e0,-0.000280616,-0.000280616,0,-0.000280616,-0.000280616,0
EX_cpd09878_e0,0,3.75E-13,0,0,0,0
EX_cpd10515_e0,-0.001122464,-0.000841848,0,-0.001122464,-0.000841848,0
EX_cpd10516_e0,-5.38E-13,-0.000280616,0,-3.20E-13,-0.000280616,0
EX_cpd15378_e0,0.000280616,0.000280616,0,0,0,0
bio,0.1,0.1,0,0.1,0.1,0