short_codes,trial_IDs,Time (s),OD:Raw_OD(590),ecoli:Fluorescence_1
G2,r1_ecoli_mRuby,0.446,0.0992049068212509,61866.0
G2,r1_ecoli_mRuby,595.9195,0.100277237594128,58072.0
G2,r1_ecoli_mRuby,1188.4635,0.0984499931335449,56991.0
G2,r1_ecoli_mRuby,1781.0265,0.103541979193687,55821.0
G2,r1_ecoli_mRuby,2373.593,0.102617552876472,55065.0
G2,r1_ecoli_mRuby,2966.187,0.104761855304241,54420.0
G2,r1_ecoli_mRuby,3558.736,0.106282122433186,54807.0
G2,r1_ecoli_mRuby,4151.33,0.1058513879776,53907.0
G2,r1_ecoli_mRuby,4743.928,0.104762594401836,53477.0
G2,r1_ecoli_mRuby,5336.5085,0.103883624076843,52420.0
G2,r1_ecoli_mRuby,5929.111,0.103543610870838,52489.0
G2,r1_ecoli_mRuby,6521.651,0.105616670846939,52085.0
G2,r1_ecoli_mRuby,7114.205,0.105771027505398,51834.0
G2,r1_ecoli_mRuby,7706.8165,0.10594025105238,51277.0
G2,r1_ecoli_mRuby,8299.348,0.105799724161625,51849.0
G2,r1_ecoli_mRuby,8891.9235,0.106822894513607,50461.0
G2,r1_ecoli_mRuby,9484.5305,0.10730185508728,50538.0
G2,r1_ecoli_mRuby,10077.119999999999,0.103418034315109,51008.0
G2,r1_ecoli_mRuby,10669.6555,0.103849039971828,50788.0
G2,r1_ecoli_mRuby,11262.1915,0.102523070573807,50175.0
G2,r1_ecoli_mRuby,11854.723,0.102378410100937,50167.0
G2,r1_ecoli_mRuby,12447.2805,0.104315942525864,49922.0
G2,r1_ecoli_mRuby,13039.7675,0.106810270249844,49952.0
G2,r1_ecoli_mRuby,13632.379,0.103683453798294,49129.0
G2,r1_ecoli_mRuby,14224.8875,0.105980043113232,49330.0
G2,r1_ecoli_mRuby,14817.450499999999,0.109395305812359,48804.0
G2,r1_ecoli_mRuby,15409.991,0.111933569610119,48954.0
G2,r1_ecoli_mRuby,16002.5485,0.111342443525791,49082.0
G2,r1_ecoli_mRuby,16595.061999999998,0.10852655172348,49088.0
G2,r1_ecoli_mRuby,17187.656000000003,0.110516303777695,48280.0
G2,r1_ecoli_mRuby,17780.254,0.11198568791151,47901.0
G2,r1_ecoli_mRuby,18372.745000000003,0.114898158609867,48510.0
G2,r1_ecoli_mRuby,18965.2895,0.113194942474365,47880.0
G2,r1_ecoli_mRuby,19557.8345,0.112250769138336,47678.0
G2,r1_ecoli_mRuby,20150.3745,0.112998642027378,47892.0
G2,r1_ecoli_mRuby,20742.928,0.114571096003056,47957.0
G2,r1_ecoli_mRuby,21335.4905,0.109971663355827,48261.0
G2,r1_ecoli_mRuby,21928.026,0.112381631135941,47575.0
G2,r1_ecoli_mRuby,22520.589,0.11040425747633,47433.0
G2,r1_ecoli_mRuby,23113.138,0.113023410737514,47809.0
G2,r1_ecoli_mRuby,23705.6735,0.112849731743336,47534.0
G2,r1_ecoli_mRuby,24298.218500000003,0.113377067446709,48338.0
G2,r1_ecoli_mRuby,24890.8385,0.112967064976692,48068.0
G2,r1_ecoli_mRuby,25483.3615,0.119108025729656,47437.0
G2,r1_ecoli_mRuby,26075.932500000003,0.118587155640125,47521.0
G2,r1_ecoli_mRuby,26668.472999999998,0.119443209469318,47795.0
G2,r1_ecoli_mRuby,27261.035000000003,0.120843271911144,47791.0
G2,r1_ecoli_mRuby,27853.58,0.11888662725687,48112.0
G2,r1_ecoli_mRuby,28446.120000000003,0.120526994764805,47735.0
G2,r1_ecoli_mRuby,29038.633500000004,0.119690302014351,48041.0
G2,r1_ecoli_mRuby,29631.182500000003,0.118814219534397,48534.0
G2,r1_ecoli_mRuby,30223.7365,0.119806724786758,47801.0
G2,r1_ecoli_mRuby,30816.249499999998,0.117485576868057,49151.0
G2,r1_ecoli_mRuby,31408.803,0.118838205933571,48022.0
G2,r1_ecoli_mRuby,32001.3345,0.117616873979568,48827.0
G2,r1_ecoli_mRuby,32593.8745,0.116796207427979,48760.0
G2,r1_ecoli_mRuby,33186.4055,0.116369043290615,48411.0
G2,r1_ecoli_mRuby,33778.90150000001,0.11838263720274,49113.0
G2,r1_ecoli_mRuby,34371.4595,0.119811414182186,49278.0
G2,r1_ecoli_mRuby,34963.995,0.126143965125084,48617.0
G2,r1_ecoli_mRuby,35556.4905,0.122196678817272,49390.0
G2,r1_ecoli_mRuby,36149.048500000004,0.122800706326962,49876.0
G2,r1_ecoli_mRuby,36741.611000000004,0.122538648545742,49300.0
G2,r1_ecoli_mRuby,37334.133499999996,0.124520979821682,49993.0
G2,r1_ecoli_mRuby,37927.254,0.123863978683949,50424.0
G2,r1_ecoli_mRuby,38519.236000000004,0.125541120767593,50680.0
G2,r1_ecoli_mRuby,39112.339,0.124108128249645,50002.0
G2,r1_ecoli_mRuby,39704.3525,0.124828757345676,51064.0
G2,r1_ecoli_mRuby,40297.4725,0.121336753666401,51030.0
G2,r1_ecoli_mRuby,40889.5445,0.123732690513134,50733.0
G2,r1_ecoli_mRuby,41482.071,0.124251747131348,51160.0
G2,r1_ecoli_mRuby,42075.2135,0.125176951289177,51188.0
G2,r1_ecoli_mRuby,42667.173500000004,0.124379161000252,51726.0
G2,r1_ecoli_mRuby,43260.244999999995,0.126159077882767,52517.0
G2,r1_ecoli_mRuby,43852.241,0.132424062490463,52283.0
G2,r1_ecoli_mRuby,44445.285,0.131027176976204,51901.0
G2,r1_ecoli_mRuby,45037.325500000006,0.132395306229591,52491.0
G2,r1_ecoli_mRuby,45630.4415,0.130743733048439,52969.0
G2,r1_ecoli_mRuby,46222.4055,0.128412023186684,52697.0
G2,r1_ecoli_mRuby,46815.4905,0.129789474606514,53585.0
G2,r1_ecoli_mRuby,47407.499500000005,0.131606742739677,54039.0
G2,r1_ecoli_mRuby,48000.5665,0.130659857392311,54998.0
G2,r1_ecoli_mRuby,48592.593,0.132899385690689,55179.0
G2,r1_ecoli_mRuby,49185.1115,0.131605502963066,54499.0
G2,r1_ecoli_mRuby,49778.254,0.129780247807503,56037.0
G2,r1_ecoli_mRuby,50370.1645,0.133688911795616,55575.0
G2,r1_ecoli_mRuby,50963.2405,0.132354494929314,55940.0
G2,r1_ecoli_mRuby,51555.3345,0.133049637079239,55924.0
G2,r1_ecoli_mRuby,52148.4325,0.137154459953308,56635.0
G2,r1_ecoli_mRuby,52740.428,0.13961193561554,56393.0
G2,r1_ecoli_mRuby,53333.499500000005,0.137542378902435,56977.0
G2,r1_ecoli_mRuby,53925.544,0.141488939523697,57451.0
G2,r1_ecoli_mRuby,54518.638,0.140529447793961,57592.0
G2,r1_ecoli_mRuby,55110.705,0.14231930077076,58244.0
G2,r1_ecoli_mRuby,55703.754,0.139981332421303,58992.0
G2,r1_ecoli_mRuby,56295.7625,0.141048175096512,58857.0
G2,r1_ecoli_mRuby,56888.803,0.14157318174839,59560.0
G2,r1_ecoli_mRuby,57480.892,0.144870978593826,59198.0
G2,r1_ecoli_mRuby,58073.945999999996,0.145228862762451,60309.0
G2,r1_ecoli_mRuby,58665.964,0.145635077357292,60189.0
G2,r1_ecoli_mRuby,59261.9775,0.145583847165108,61178.0
G2,r1_ecoli_mRuby,59851.0265,0.144480600953102,61398.0
G2,r1_ecoli_mRuby,60443.9415,0.1500448346138,61320.0
G2,r1_ecoli_mRuby,61036.02650000001,0.147625985741615,62578.0
G2,r1_ecoli_mRuby,61628.7855,0.152245277166367,62643.0
G2,r1_ecoli_mRuby,62221.089,0.15281183719635,64045.0
G2,r1_ecoli_mRuby,62814.013000000006,0.15583787560463,62825.0
G2,r1_ecoli_mRuby,63406.0885,0.154439586400986,63148.0
G2,r1_ecoli_mRuby,63998.994999999995,0.15636795759201,64127.0
G2,r1_ecoli_mRuby,64591.182499999995,0.156543576717377,67825.0
G2,r1_ecoli_mRuby,65184.174,0.160080522298813,65141.0
G2,r1_ecoli_mRuby,65776.187,0.161801639199257,65273.0
G2,r1_ecoli_mRuby,66369.102,0.161390256881714,65662.0
G2,r1_ecoli_mRuby,66961.1735,0.160875871777534,65842.0
G2,r1_ecoli_mRuby,67554.062,0.162506514787674,68773.0
G2,r1_ecoli_mRuby,68146.187,0.163448476791382,71111.0
G2,r1_ecoli_mRuby,68739.004,0.16566087603569,68362.0
G2,r1_ecoli_mRuby,69331.254,0.166346684098244,71990.0
G2,r1_ecoli_mRuby,69924.156,0.170679321885109,71963.0
G2,r1_ecoli_mRuby,70516.245,0.16851664185524,71864.0
G2,r1_ecoli_mRuby,71108.7985,0.171776387095451,72551.0
G2,r1_ecoli_mRuby,71701.379,0.171442437171936,73437.0
G2,r1_ecoli_mRuby,72294.2585,0.173125231266022,73080.0
G2,r1_ecoli_mRuby,72886.37,0.17441154718399,74818.0
G2,r1_ecoli_mRuby,73479.2225,0.17425252199173,73121.0
G2,r1_ecoli_mRuby,74071.361,0.175113347172737,75808.0
G2,r1_ecoli_mRuby,74664.031,0.179827585816383,76804.0
G2,r1_ecoli_mRuby,75256.85200000001,0.179018881917,75546.0
G2,r1_ecoli_mRuby,75848.928,0.183188551664352,76319.0
G2,r1_ecoli_mRuby,76441.459,0.18398902118206,76730.0
G2,r1_ecoli_mRuby,77034.07500000001,0.185307091474533,77002.0
G2,r1_ecoli_mRuby,77626.93299999999,0.189988219738007,78422.0
G2,r1_ecoli_mRuby,78218.924,0.189296954870224,78115.0
G2,r1_ecoli_mRuby,78811.4725,0.190969243645668,77945.0
G2,r1_ecoli_mRuby,79403.995,0.192167973518372,78508.0
G2,r1_ecoli_mRuby,79996.7225,0.192423951625824,80065.0
G2,r1_ecoli_mRuby,80588.937,0.194763788580894,80876.0
G2,r1_ecoli_mRuby,81182.30300000001,0.196694815158844,80411.0
G2,r1_ecoli_mRuby,81774.62,0.198036909103394,83633.0
G2,r1_ecoli_mRuby,82366.794,0.199944207072258,81624.0
G2,r1_ecoli_mRuby,82959.1425,0.201134178042412,83099.0
G2,r1_ecoli_mRuby,83551.35250000001,0.202205976843834,82976.0
G2,r1_ecoli_mRuby,84143.8565,0.203081876039505,83965.0
G2,r1_ecoli_mRuby,84736.459,0.209643363952637,85626.0
G2,r1_ecoli_mRuby,85329.303,0.207602652907372,84837.0
G2,r1_ecoli_mRuby,85921.33,0.211782747507095,85070.0
G2,r1_ecoli_mRuby,86513.678,0.211080521345139,84387.0
G2,r1_ecoli_mRuby,87106.2585,0.21227585375309,86575.0
G2,r1_ecoli_mRuby,87698.72750000001,0.213637346029282,86619.0
G2,r1_ecoli_mRuby,88291.995,0.216827908158302,87386.0
G2,r1_ecoli_mRuby,88883.85200000001,0.217459309101105,84442.0
G2,r1_ecoli_mRuby,89477.22750000001,0.219054305553436,89289.0
G2,r1_ecoli_mRuby,90069.098,0.222196233272553,87456.0
G2,r1_ecoli_mRuby,90661.5305,0.222334414720535,90413.0
G2,r1_ecoli_mRuby,91255.6155,0.227512976527214,89001.0
G2,r1_ecoli_mRuby,91847.589,0.23128342628479,92963.0
G2,r1_ecoli_mRuby,92439.6735,0.228166931867599,90688.0
G2,r1_ecoli_mRuby,93032.91,0.234487336874008,92158.0
