,SampleName,12_Ketolithocholic acid,2_deoxy_Ribose,5_Oxoproline,Alanine,Allose,Arabinose,Asparagine,Aspartic acid,cellb,Cholic/Allocholic acid,cit,Cysteine,dca,Deoxycholic acid,ddca,galt,Fructose,Fucose,fum,Galactose,glc__D,Glutamic acid,gly,hxa,Histidine,indole,Isoleucine,Leucine,Linoleic acid,Lithocholic/Allolithocholic/Isolithocholic acid,Lysine,mal__L,melib,met__L,ttdca,N_Acetyl_Glucosamine,nac,octa,orn__L,hdca,Phenylalanine,Picolinic acid,Proline,pyr,raffin,Rhamnose,Ribose,Serine,succ,sucr,Threonine,tyr__L,Ursodeoxycholic acid,pta,Valine,alpha_Ketoglutaric acid ,cis_Oleic acid,meso_Erythritol,myo_Inositol,trans_4_Hydroxyproline
34,HF2424,0.122,0.641,1.667,24.419,,7.479,,2.443,0.522,0.351,0.108,1.478,0.089,14.554,0.059,,2.378,0.41,0.71,6.098,58.684,1.283,0.742,0.213,,0.21,8.237,15.089,6.708,0.426,1.136,0.3,,2.54,1.488,2.348,4.267,0.321,0.294,1.008,2.358,0.226,7.626,2.322,,0.14,23.935,4.17,0.662,0.344,1.485,8.81,0.034,2.75,2.877,1.962,8.086,0.073,3.597,0.272
35,HF2462,0.201,0.853,1.702,23.15,,21.147,,5.151,,0.764,0.14,2.174,0.104,17.295,0.091,,3.801,0.648,0.858,20.043,99.024,1.225,0.536,0.244,,0.481,7.701,13.772,6.153,0.365,1.123,0.507,,2.737,1.237,2.326,6.044,0.415,0.339,1.007,1.959,0.291,5.798,1.571,,0.282,26.754,4.263,1.102,0.52,1.461,7.751,0.061,6.801,2.349,1.189,5.5,0.13,2.037,0.495
36,HF2506,0.075,0.045,0.81,15.415,,0.58,0.137,2.702,0.125,0.688,0.041,1.899,0.073,35.335,0.069,,0.604,0.178,0.23,3.371,22.571,0.742,0.462,0.097,,0.155,9.214,17.116,0.33,0.564,1.478,0.023,,3.641,0.625,1.161,1.305,0.19,0.399,0.654,3.132,0.156,4.604,1.169,,0.055,8.774,4.302,0.657,1.259,1.407,5.405,0.266,2.151,2.861,0.916,1.143,0.015,0.776,0.048
37,HF2525,0.055,0.111,1.822,20.007,0.025,2.453,0.203,5.859,0.143,0.428,0.034,1.05,0.042,9.602,0.022,,0.809,0.442,0.506,9.93,15.68,1.946,0.641,0.076,,0.192,10.612,17.329,0.716,0.126,2.282,0.196,,3.703,0.329,3.158,2.009,0.122,0.709,0.556,3.317,0.111,9.854,0.994,,0.06,12.88,4.167,1.234,0.115,1.609,6.174,0.02,1.533,3.461,0.838,1.245,0.032,0.957,0.144
38,HF2563,0.106,0.306,1.566,18.962,,5.947,0.142,2.108,0.384,3.597,0.045,1.452,0.047,19.226,0.049,,1.289,0.333,0.616,9.85,34.368,1.471,0.392,0.11,,0.21,5.081,9.382,4.505,0.356,0.695,0.244,,1.832,0.589,2.395,2.802,0.185,0.254,0.769,1.562,0.159,4.997,0.989,,0.102,16.88,2.678,0.841,0.217,1.107,4.24,0.055,2.442,1.706,1.278,3.777,0.042,0.826,0.22
39,HF2582,0.031,0.118,0.834,13.179,,3.061,0.045,2.203,0.164,0.158,0.035,1.612,0.048,6.659,0.039,,0.768,0.169,0.966,2.604,26.544,0.742,0.308,0.092,,0.107,4.758,8.208,1.427,0.159,0.48,0.457,,1.414,0.478,1.005,1.984,0.176,0.223,0.642,1.204,0.153,4.399,0.385,,0.065,13.416,2.077,1.226,0.134,0.748,3.012,0.013,1.736,1.518,0.2,1.608,0.033,1.01,0.198
40,HF2601,0.022,0.183,1.064,10.589,0.132,2.05,0.159,4.014,0.626,0.484,0.149,2.343,0.365,22.494,0.255,,1.479,0.309,0.984,7.575,32.67,0.923,0.642,0.271,,0.177,6.243,12.657,2.04,1.705,0.795,0.359,,2.838,3.67,2.266,1.709,0.279,0.3,1.364,2.073,0.197,5.778,1.443,,0.101,13.365,3.844,4.464,1.568,1.468,4.845,0.028,1.998,2.301,1.3,6.845,0.04,0.869,0.078
41,HF2620,0.023,0.123,0.584,25.222,,2.406,0.125,3.054,,5.278,0.03,1.471,0.043,13.202,0.038,,0.845,0.165,0.757,2.862,34.483,0.524,0.212,0.093,,0.21,14.07,19.443,2.211,0.158,0.953,0.21,,2.5,0.65,0.881,1.306,0.17,0.35,0.653,3.372,0.152,3.151,0.29,,0.048,10.831,1.753,2.917,0.136,0.697,7.622,0.07,0.301,5.421,0.038,1.889,0.027,0.495,0.074
42,HF2753,0.037,0.988,1.282,22.845,0.026,6.598,0.374,7.928,0.276,0.221,0.032,1.88,0.073,9.995,0.044,,1.261,0.34,0.496,3.919,32.938,1.26,0.594,0.132,,0.12,17.871,24.929,2.226,0.198,2.224,0.227,,3.612,0.525,1.253,1.836,0.209,0.236,0.667,3.701,0.164,10.561,0.299,,0.088,13.849,5.152,0.54,0.809,2.58,9.609,0.023,1.544,4.9,0.108,2.125,0.051,1.132,0.211
43,HF2772,0.043,0.092,0.983,16.571,0.024,4.562,0.121,4.68,0.444,0.084,0.04,1.934,0.051,7.257,0.034,,0.592,0.094,0.472,2.045,23.174,0.956,0.339,0.103,,0.111,10.128,15.495,2.842,0.264,1.018,0.146,,2.493,0.402,0.44,2.052,0.178,0.221,0.631,2.222,0.162,6.832,0.289,,0.081,11.648,2.636,0.519,0.155,1.234,4.495,0.008,1.971,2.808,0.118,2.361,0.033,0.38,0.167
44,HF2791,,0.012,1.012,1.207,0.142,0.477,0.167,2.301,2.198,0.044,0.134,4.861,0.095,0.199,0.043,,0.674,0.043,0.134,0.182,2.991,0.495,0.762,0.104,,,4.574,6.578,0.157,,,,,0.726,0.42,0.022,0.179,0.151,0.072,0.471,0.981,0.148,18.78,0.402,,0.068,0.227,0.448,0.034,1.111,1.729,0.423,,0.028,1.344,0.003,0.856,0.041,0.172,0.025
45,HF2810,,0.024,1.32,3.481,0.224,0.762,0.19,2.705,3.568,0.062,0.095,5.06,0.059,0.076,0.039,0.264,0.949,7.418,0.159,8.31,3.959,0.996,0.585,0.076,,,2.338,3.45,0.08,,0.161,0.011,,0.458,0.305,2.157,0.389,0.167,0.136,0.501,0.431,0.143,22.001,1.716,,0.095,1.44,0.234,1.532,,4.675,0.089,,0.039,0.927,0.01,0.404,0.188,0.116,0.051
46,HF2829,0.02,0.294,1.44,18.268,1.549,7.307,0.207,7.699,0.428,0.115,0.068,2.414,0.068,2.371,0.043,,1.796,0.145,0.606,4.796,45.675,1.319,0.492,0.118,,0.152,11.062,18.851,3.586,0.172,1.585,0.089,,3.381,0.528,0.745,2.651,0.22,0.623,0.739,2.738,0.187,5.741,0.27,,0.111,15.161,3.421,0.422,0.238,1.359,6.527,,3.246,3.033,0.207,2.481,0.047,0.8,0.19
47,HF2848,,0.039,1.175,5.09,0.17,0.648,0.456,3.777,2.823,0.095,0.123,6.222,0.123,0.076,0.072,,0.919,0.068,0.209,0.414,2.191,0.64,0.93,0.107,,,9.54,16.838,0.378,,0.38,0.009,,1.754,0.622,0.02,0.373,0.211,0.308,0.605,2.009,0.176,18.534,2.52,,0.065,0.964,0.587,0.049,0.972,2.438,0.53,,0.045,2.771,0.005,1.77,0.064,0.624,0.051
48,HF2981,0.041,0.637,2.239,29.054,,5.503,0.395,10.967,0.516,0.1,0.061,1.626,0.075,8.501,0.048,,3.264,0.217,0.72,2.985,34.183,2.054,0.912,0.127,,0.223,17.28,25.749,3.048,0.301,2.357,0.192,,3.85,0.591,0.944,3.37,0.223,0.564,0.783,3.641,0.206,12.359,0.616,,0.115,18.795,1.386,2.26,0.227,2.853,11.076,,2.499,5.183,0.407,2.55,0.11,1.562,0.385
49,HF3000,0.017,0.103,1.361,10.775,0.116,0.191,1.383,3.837,0.086,3.984,0.136,1.344,0.076,19.351,0.056,0.306,0.904,0.109,0.216,2.115,15.996,0.889,0.777,0.059,,0.067,12.358,20.008,0.172,0.277,0.689,0.011,,2.935,0.72,1.3,0.834,0.107,0.138,0.651,3.276,0.131,7.09,0.385,,0.056,3.236,3.496,0.545,0.667,1.736,3.419,0.207,0.773,3.692,0.196,1.574,0.021,0.705,0.078
50,HF3019,0.016,0.235,0.865,18.43,0.036,10.473,0.472,4.213,0.582,1.049,0.024,2.718,0.062,15.572,0.038,,0.601,0.712,0.35,13.899,47.751,0.758,0.514,0.135,,0.214,15.823,24.573,3.524,0.197,1.35,0.062,,3.377,0.445,2.005,1.136,0.217,0.286,0.681,3.547,0.177,7.805,0.283,,0.084,9.784,5.252,1.142,0.148,2.004,10.056,0.042,1.708,4.24,0.038,2.338,0.092,2.445,0.118
51,HF3057,,0.085,2.406,6.38,0.069,0.1,1.283,11.699,,7.792,0.172,1.962,0.079,0.251,0.054,0.066,0.209,0.352,0.252,3.359,7.058,2.15,0.798,0.079,,0.067,12.189,15.328,0.537,0.009,0.737,0.028,,3.103,0.778,0.578,0.536,0.127,0.384,0.583,3.095,0.141,5.014,0.196,,0.037,2.686,2.932,0.247,0.195,0.875,2.191,0.166,0.066,5.216,0.064,1.982,0.027,0.139,0.121
52,HF3095,0.149,0.188,2.04,18.425,0.03,1.18,1.021,6.08,0.029,11.643,0.127,1.951,0.385,38.463,0.292,,0.78,0.346,0.698,5.676,29.118,1.413,1.236,0.135,,0.174,9.672,20.281,0.581,0.415,1.295,0.217,,3.006,3.327,2.333,2.469,0.214,0.5,1.049,2.931,0.194,5.708,1.186,,0.053,12.56,5.622,0.337,2.291,1.887,8.941,0.592,2.087,3.334,1.036,7.815,0.03,3.832,0.15
53,HF3114,0.073,0.85,1.595,26.379,,8.704,0.11,1.408,0.395,0.128,0.037,1.457,0.065,11.078,0.074,,4.35,0.295,0.399,4.303,47.979,1.299,0.549,0.139,,0.249,5.061,11.158,3.185,0.233,1.348,0.244,,1.64,0.581,1.485,3.43,0.203,0.19,0.701,1.688,0.163,8.268,1.253,,0.148,18.661,1.613,0.875,0.164,1.297,4.496,0.016,3.73,2.242,0.771,2.897,0.079,1.819,0.322
54,HF3133,0.088,0.231,1.185,15.24,0.025,2.875,0.114,3.472,0.033,0.269,0.098,1.488,0.279,27.673,0.207,,0.676,0.095,0.409,1.895,18.693,1.137,0.527,0.098,,0.084,4.811,8.653,0.371,0.653,0.244,0.106,,1.919,2.402,0.656,1.69,0.153,0.275,1.04,1.446,0.144,5.867,1.262,,0.05,12.707,1.376,0.476,1.686,0.79,2.797,0.114,1.082,1.753,1.154,5.419,0.028,0.861,0.067
55,HF3171,0.045,0.259,1.208,19.447,0.053,3.408,0.107,1.456,,0.852,0.035,1.472,0.062,17.859,0.073,,1.181,0.258,0.383,6.274,35.32,1.027,0.489,0.118,0.03,0.327,2.627,5.886,3.042,0.206,0.911,0.237,,1.428,0.566,1.376,3.596,0.203,0.162,0.679,1.121,0.187,5.655,1.431,,0.107,15.857,1.652,1.034,0.184,0.463,3.563,0.028,4.28,1.171,1.149,2.775,0.053,2.455,0.259
56,HF450,0.37,0.028,0.194,2.217,0.054,0.105,,0.246,0.54,1.726,0.045,2.648,0.123,32.759,0.12,,2.496,0.046,0.104,0.851,14.136,0.151,0.08,0.122,,0.103,1.465,1.987,0.087,1.116,,0.013,,0.523,2.015,0.228,0.968,0.268,0.014,1.137,0.22,0.132,1.403,0.054,,0.052,3.431,0.468,0.063,14.267,0.143,0.572,0.298,0.112,0.508,0.019,0.847,0.064,0.328,0.015
57,HF456,0.191,0.216,0.23,6.221,0.04,10.247,,0.266,0.246,0.186,0.102,2.935,0.1,11.035,0.088,,0.657,0.207,0.34,4.69,46.162,0.15,0.354,0.163,,0.646,1.967,4.763,7.455,0.373,0.11,0.242,,0.495,1.049,0.716,1.874,0.412,0.026,1.09,0.613,0.164,3.234,0.573,,0.314,5.405,0.902,2.598,0.401,0.287,1.744,0.017,1.516,0.681,0.04,4.678,0.055,0.722,0.417
58,HF477,0.024,0.055,0.829,1.666,0.136,4.922,0.217,1.196,,0.516,0.067,3.969,0.046,0.496,0.014,,1.692,0.303,0.353,0.392,10.943,0.334,0.178,0.076,,,3.25,6.612,2.321,,0.193,0.012,5.367,0.429,0.35,0.597,0.067,0.2,0.113,0.596,0.964,0.166,1.303,0.067,137.681,0.27,2.471,1.585,0.027,0.699,1.841,1.752,,0.045,1.037,,1.667,0.109,2.203,0.075
59,HF506,,0.043,0.819,0.755,0.141,1.656,0.206,1.285,,0.068,0.148,3.783,0.04,0.077,0.024,,2.207,0.113,0.378,0.328,3.803,0.364,0.127,0.072,,,2.173,3.95,1.989,,0.25,0.016,4.282,0.309,0.304,0.168,0.086,0.189,0.122,0.58,0.669,0.118,0.579,0.06,136.168,0.196,1.698,1.463,0.024,0.808,1.816,0.976,,0.041,0.721,,1.649,0.065,3.718,0.045
60,HF522,,0.043,0.958,1.404,0.083,0.527,0.297,1.969,,0.037,0.054,3.969,0.041,0.021,0.015,0.43,1.421,0.128,0.274,1.068,0.335,0.577,0.131,0.07,,,2.52,5.498,1.648,,0.761,0.011,,0.42,0.268,,0.215,0.179,0.476,0.547,0.824,0.116,1.122,0.298,,0.152,0.607,0.14,0.027,0.67,2.645,0.061,,0.039,1.073,0.005,1.239,0.176,0.197,0.125
61,HF536,,0.027,0.439,0.863,0.466,0.946,0.05,0.389,3.613,0.121,0.105,4.214,0.198,,0.102,,4.274,0.224,0.146,0.422,7.617,0.199,0.115,0.18,,,1.522,2.326,0.302,,,,,0.301,1.034,0.295,0.075,0.26,,0.641,0.274,0.144,0.806,0.023,,0.126,2.149,1.221,0.023,1.887,0.576,0.698,,0.045,0.482,,1.727,0.045,1.966,0.014
62,HF538,,0.058,0.619,4.947,0.03,4.714,,1.51,,3.9,0.052,2.672,0.05,,0.032,1.609,0.431,0.069,0.422,2.68,21.011,0.451,0.192,0.092,,0.244,3.024,6.586,3.283,,0.184,0.045,,1.033,0.539,0.281,1.27,0.231,0.118,0.7,0.874,0.16,11.257,0.261,,0.444,5.444,0.712,0.143,0.332,0.296,1.574,0.034,0.123,1.278,0.01,2.433,1.528,0.111,1.425
63,HF554,0.197,0.24,0.353,3.882,0.039,6.711,,1.02,0.32,0.328,0.023,2.908,0.114,33.256,0.1,,0.688,0.189,0.796,4.144,37.646,0.221,0.264,0.223,,0.635,1.478,3.212,7.694,1.138,0.085,0.483,,0.36,1.063,0.673,3.014,0.513,0.073,1.184,0.347,0.298,2.578,0.332,,0.19,11.206,0.694,0.889,0.517,0.288,1.893,0.049,1.634,0.451,0.023,5.007,0.062,0.806,0.302
64,HF560,,0.03,0.437,0.854,0.48,0.965,0.068,0.404,3.431,0.093,0.108,5.184,0.114,0.153,0.064,,5.233,0.177,0.116,,9.854,0.198,0.131,0.135,,,1.796,2.742,0.16,,,,,0.336,0.678,0.25,0.066,0.213,,0.582,0.314,0.174,1.516,0.024,,0.119,2.262,1.2,0.019,4.956,0.851,0.79,,0.042,0.592,,0.97,0.044,1.723,0.022
65,HF562,0.172,0.147,0.273,3.863,,4.088,,1.004,0.507,0.492,0.007,2.601,0.106,92.195,0.078,,0.374,0.214,0.592,4.251,34.03,0.177,0.206,0.183,,0.423,1.445,2.286,8.078,1.578,,0.633,,0.329,1.012,1.005,3.164,0.442,0.036,1.141,0.243,0.268,1.763,0.193,,0.099,12.362,0.564,0.649,0.249,0.288,1.198,0.108,1.423,0.391,0.011,4.89,0.055,0.906,0.125
66,HF569,,0.04,0.945,0.936,0.373,0.627,0.102,1.53,3.313,0.204,0.114,5.075,0.133,0.239,0.062,,2.585,0.192,0.163,0.483,5.91,0.453,0.312,0.122,,,3.829,7.632,0.49,,,,,0.621,0.771,0.468,0.069,0.232,,0.616,0.905,0.199,2.352,0.029,,0.083,3.603,2.788,0.026,1.277,1.565,2.378,,0.047,1.09,,1.989,0.052,4.915,0.046
67,HF571,0.075,0.091,0.201,3.675,0.034,5.773,,0.386,0.347,1.298,0.118,2.713,0.081,26.017,0.056,,0.369,0.168,0.284,3.085,25.194,0.122,0.23,0.141,,0.232,1.4,2.58,8.622,0.892,,0.166,,0.331,0.944,0.447,1.589,0.341,0.041,0.972,0.32,0.176,2.75,0.222,,0.116,5.706,0.648,1.154,0.266,0.237,1.194,0.073,1.312,0.428,0.009,5.692,,0.823,0.267
68,RC_001,,,0.131,0.836,0.029,0.055,,0.398,,,1.046,1.989,0.046,0.028,0.038,,2.506,,0.072,0.048,0.612,0.017,0.072,0.059,,,0.387,0.644,5.732,,,0.382,0.021,4.781,0.696,,0.172,0.13,,0.599,0.115,0.064,2.307,0.032,1.192,0.027,,0.211,0.056,32.513,0.033,0.093,,0.027,0.121,,3.842,0.064,0.502,0.004
